Date,Value
1/31/1976,885.2
2/29/1976,994.7
3/31/1976,1243.6
4/30/1976,1191.2
5/31/1976,1203.2
6/30/1976,1254.7
7/31/1976,1162.3
8/31/1976,1026.1
9/30/1976,1057.9
10/31/1976,1129.4
11/30/1976,1084.4
12/31/1976,1061.8
1/31/1977,969.9
2/28/1977,1092.1
3/31/1977,1451.1
4/30/1977,1354.4
5/31/1977,1377.1
6/30/1977,1459.8
7/31/1977,1202
8/31/1977,1234.5
9/30/1977,1104.6
10/31/1977,1341.3
11/30/1977,1181.6
12/31/1977,1090.6
1/31/1978,931.3
2/28/1978,1071.4
3/31/1978,1480.6
4/30/1978,1406.5
5/31/1978,1557.6
6/30/1978,1549.4
7/31/1978,1289.2
8/31/1978,1317.1
9/30/1978,1103.5
10/31/1978,1397
11/30/1978,1248.7
12/31/1978,1068.5
1/31/1979,1077.5
2/28/1979,1148.7
3/31/1979,1483.8
4/30/1979,1304.6
5/31/1979,1373
6/30/1979,1183.8
7/31/1979,1164.4
8/31/1979,1207.2
9/30/1979,1029.6
10/31/1979,1197.6
11/30/1979,1018.6
12/31/1979,959.7
1/31/1980,1042
2/29/1980,1038.7
3/31/1980,1141.9
4/30/1980,946.6
5/31/1980,893.8
6/30/1980,932.7
7/31/1980,1006.6
8/31/1980,884.2
9/30/1980,847.4
10/31/1980,1043.4
11/30/1980,870.5
12/31/1980,821.4
1/31/1981,814.3
2/28/1981,949.2
3/31/1981,1178.8
4/30/1981,962.9
5/31/1981,933.1
6/30/1981,942.7
7/31/1981,896.9
8/31/1981,1009
9/30/1981,864.8
10/31/1981,822
11/30/1981,743
12/31/1981,673.2
1/31/1982,714.4
2/28/1982,840.5
3/31/1982,1057.3
4/30/1982,877.2
5/31/1982,1020.2
6/30/1982,868.4
7/31/1982,827.4
8/31/1982,794
9/30/1982,891.1
10/31/1982,840.9
11/30/1982,971.5
12/31/1982,839.3
1/31/1983,789.3
2/28/1983,821.6
3/31/1983,1102
4/30/1983,1012.3
5/31/1983,1109.9
6/30/1983,1205.4
7/31/1983,1051.7
8/31/1983,993.1
9/30/1983,980.4
10/31/1983,1126
11/30/1983,1050.2
12/31/1983,1054
1/31/1984,1056.9
2/29/1984,1158.9
3/31/1984,1351.5
4/30/1984,1245.8
5/31/1984,1451.7
6/30/1984,1315.9
7/31/1984,1237.2
8/31/1984,1129.6
9/30/1984,1053.4
10/31/1984,1266.5
11/30/1984,1141.1
12/31/1984,1074.8
1/31/1985,1196.6
2/28/1985,1210.6
3/31/1985,1391
4/30/1985,1380.3
5/31/1985,1498.9
6/30/1985,1332.9
7/31/1985,1337.6
8/31/1985,1345.8
9/30/1985,1463.5
10/31/1985,1243.2
11/30/1985,1120.9
12/31/1985,1198.8
1/31/1986,1213.8
2/28/1986,1182.2
3/31/1986,1297.6
4/30/1986,1390.1
5/31/1986,1530.3
6/30/1986,1426.5
7/31/1986,1378
8/31/1986,1344.1
9/30/1986,1733.6
10/31/1986,1270.6
11/30/1986,1119.9
12/31/1986,1431.1
1/31/1987,918.9
2/28/1987,1148.4
3/31/1987,1381.7
4/30/1987,1385.3
5/31/1987,1298.5
6/30/1987,1419.6
7/31/1987,1355.8
8/31/1987,1400.6
9/30/1987,1300.5
10/31/1987,1193.2
11/30/1987,1110.7
12/31/1987,1249.2
1/31/1988,1122.5
